iter	Logloss
0	0.6662018263
1	0.6394782332
2	0.6180221026
3	0.5979088733
4	0.5802163971
5	0.5651469629
6	0.5510091242
7	0.5393337646
8	0.52800744
9	0.5181647597
10	0.5076279615
11	0.5000342185
12	0.4934564638
13	0.4863769444
14	0.4806148001
15	0.4757551642
16	0.4707156157
17	0.4665340632
18	0.4628971097
19	0.4597401297
20	0.4562152943
21	0.4528829844
22	0.4508432964
23	0.4480822552
24	0.444984747
25	0.4423921717
26	0.4396515578
27	0.4378766819
28	0.4353470655
29	0.4332375594
30	0.4310234922
31	0.4283623578
32	0.4260374287
33	0.4247743544
34	0.4222495931
35	0.4200191346
36	0.4183879019
37	0.4164847598
38	0.4145227156
39	0.4130139812
40	0.4114142374
41	0.4096179838
42	0.4070735473
43	0.4057298769
44	0.404702921
45	0.4032334002
46	0.4014810546
47	0.399919606
48	0.3990097056
49	0.397155001
50	0.3962361071
51	0.3952739242
52	0.3944386189
53	0.3917783567
54	0.3893633507
55	0.3887100416
56	0.3874055694
57	0.3853788341
58	0.3847014895
59	0.3835721853
60	0.3825154066
61	0.3808198225
62	0.3796913224
63	0.3764033153
64	0.3755835313
65	0.3749981021
66	0.3715320624
67	0.3681951158
68	0.3662420497
69	0.3641672626
70	0.3608483655
71	0.3598022232
72	0.3592710578
73	0.358082315
74	0.3570628197
75	0.3563993702
76	0.3557375881
77	0.352566162
78	0.352106116
79	0.351431052
80	0.3496055016
81	0.348669518
82	0.348205744
83	0.3476579703
84	0.3469419238
85	0.3464434295
86	0.3441786256
87	0.3425253128
88	0.33905224
89	0.3377200153
90	0.3373500313
91	0.336287701
92	0.3346312215
93	0.3341450178
94	0.3319824876
95	0.3294663838
96	0.3284310588
97	0.3271435366
98	0.3262991848
99	0.3254082823
100	0.3237716571
101	0.3220276714
102	0.3208585966
103	0.320116453
104	0.3186682099
105	0.3180445867
106	0.3176171636
107	0.3164000074
108	0.3154198109
109	0.3147754989
110	0.3145713815
111	0.3137838395
112	0.3131422977
113	0.3128681075
114	0.312395081
115	0.3119122936
116	0.3115219705
117	0.3108189314
118	0.3094199956
119	0.308827167
120	0.3081394657
121	0.3079383944
122	0.307531627
123	0.306129657
124	0.3048668462
125	0.3042421525
126	0.3033901988
127	0.3027516628
128	0.3025590628
129	0.3020946973
130	0.3009805583
131	0.2994292991
132	0.2989826732
133	0.2986073767
134	0.2981897932
135	0.2979634577
136	0.2971869931
137	0.2967983817
138	0.2962307206
139	0.295164679
140	0.2945885267
141	0.2943353028
142	0.2937926459
143	0.2934101825
144	0.2930263392
145	0.2927261182
146	0.2922032104
147	0.2915948714
148	0.2910321852
149	0.2890058344
150	0.2887439379
151	0.2885332719
152	0.2878588531
153	0.2873900324
154	0.2866193913
155	0.2863702894
156	0.2855940921
157	0.2852939788
158	0.2844973036
159	0.2839234116
160	0.2832355905
161	0.2825415842
162	0.2820825183
163	0.2816834969
164	0.2811422958
165	0.2808708327
166	0.2801234852
167	0.2789275978
168	0.2785496006
169	0.2782631275
170	0.2779400216
171	0.2775827852
172	0.2773191259
173	0.2771474502
174	0.2769466017
175	0.2767119406
176	0.2764261546
177	0.2755164702
178	0.2752287059
179	0.2749763523
180	0.2746232003
181	0.2742129558
182	0.273755498
183	0.2734133919
184	0.2725240403
185	0.2719615025
186	0.2715719874
187	0.2713026779
188	0.2710871905
189	0.2708748589
190	0.2705459195
191	0.2692939111
192	0.2689447611
193	0.26864861
194	0.2680651318
195	0.2678346146
196	0.2676495941
197	0.2672609474
198	0.266659497
199	0.2658718014
200	0.2651724099
201	0.2648258722
202	0.2645208939
203	0.2642586323
204	0.264041919
205	0.2627859148
206	0.2620822846
207	0.261826306
208	0.2611179795
209	0.2608565034
210	0.260562852
211	0.2602489552
212	0.2599532487
213	0.258826789
214	0.2582360827
215	0.2578183341
216	0.257409893
217	0.2566861797
218	0.256013163
219	0.2555291027
220	0.2553187996
221	0.2551427884
222	0.2548484729
223	0.2545257414
224	0.2543362318
225	0.2538812381
226	0.2533130098
227	0.2522472391
228	0.2513515772
229	0.25098787
230	0.25057936
231	0.2499689353
232	0.2497098796
233	0.2494608783
234	0.2488766135
235	0.2483176648
236	0.2481106519
237	0.2476290381
238	0.2465774019
239	0.2463927295
240	0.2460858594
241	0.2453746733
242	0.2444169042
243	0.2438243861
244	0.2430344485
245	0.2427656918
246	0.2426000912
247	0.2421450988
248	0.2417731404
249	0.2415395846
250	0.2412354674
251	0.240924914
252	0.2405533484
253	0.2403663456
254	0.2401621978
255	0.2391682388
256	0.2389259461
257	0.2386588848
258	0.2383388518
259	0.2378806428
260	0.2376632867
261	0.2372559997
262	0.236887026
263	0.2363845348
264	0.2362172671
265	0.2359144595
266	0.2357225841
267	0.2353051536
268	0.2351082515
269	0.2349301512
270	0.2347178143
271	0.2344261321
272	0.2341226249
273	0.2338664413
274	0.2337105861
275	0.2334753875
276	0.2333224408
277	0.2330548569
278	0.2328214487
279	0.2325361048
280	0.232310207
281	0.2321686179
282	0.2318028856
283	0.231592463
284	0.2313050888
285	0.2311318007
286	0.2307677489
287	0.2302523009
288	0.2299404664
289	0.2296579329
290	0.2293586189
291	0.2289946373
292	0.2287068108
293	0.2284458793
294	0.2282199164
295	0.2280011307
296	0.227717599
297	0.2273291866
298	0.2267951889
299	0.2265769643
